Class,accident_type,evidence,uplift,s2_2_importance,CRI_Score,matched_details
A,Other impacts,"{'Equipment Type': 'Single Car', 'Cabooses': '0'}",0.2296618809451954,0.00193257855,0.29028784055568174,Equipment Type=Single Car(Score:0.0030); Cabooses(Score:0.0009)
A,Other impacts,"{'Equipment Type': 'Single Car', 'Firemen On Duty': '0.0'}",0.2296618809451954,0.001875501025,0.2884317199145756,Equipment Type=Single Car(Score:0.0030); Firemen On Duty(Score:0.0008)
A,Other impacts,"{'Equipment Type': 'Single Car', 'Hours Engineers On Duty': 'nan'}",0.2296618809451954,0.0018196028,0.28661394927326467,Equipment Type=Single Car(Score:0.0030); Hours Engineers On Duty(Score:0.0006)
A,Other impacts,"{'Equipment Type': 'Single Car', 'Minutes Engineers On Duty': 'nan'}",0.2296618809451954,0.00180455185,0.2861245030514242,Equipment Type=Single Car(Score:0.0030); Minutes Engineers On Duty(Score:0.0006)
A,Other impacts,"{'Rear End Remote Locomotives': '0', 'Equipment Type': 'Single Car'}",0.2296618809451954,0.00172733514,0.2836134703941864,Rear End Remote Locomotives(Score:0.0005); Equipment Type=Single Car(Score:0.0030)
A,Other impacts,"{'Equipment Type': 'Single Car', 'Minutes Conductors On Duty': 'nan'}",0.2296618809451954,0.0017197848,0.28336793869109717,Equipment Type=Single Car(Score:0.0030); Minutes Conductors On Duty(Score:0.0004)
A,Other impacts,"{'Equipment Type': 'Single Car', 'Adjunct Name 1': 'nan'}",0.2296618809451954,0.00149951935,0.2762050624404621,Equipment Type=Single Car(Score:0.0030); Adjunct Name 1=nan(N/A)
A,Other impacts,"{'Equipment Type': 'Single Car', 'Method of Operation': 'nan'}",0.2296618809451954,0.00149951935,0.2762050624404621,Equipment Type=Single Car(Score:0.0030); Method of Operation=nan(N/A)
A,Other impacts,"{'Equipment Type': 'Single Car', 'TrackDensity_BINS': 'UNKNOWN'}",0.2296618809451954,0.00149951935,0.2762050624404621,Equipment Type=Single Car(Score:0.0030); TrackDensity_BINS=UNKNOWN(N/A)
A,Other impacts,"{'Signalization': 'nan', 'Equipment Type': 'Single Car'}",0.2296618809451954,0.00149951935,0.2762050624404621,Signalization=nan(N/A); Equipment Type=Single Car(Score:0.0030)
A,Other impacts,"{'Equipment Type': 'Single Car', 'Remote Control Locomotive': 'nan'}",0.2296618809451954,0.00149951935,0.2762050624404621,Equipment Type=Single Car(Score:0.0030); Remote Control Locomotive=nan(N/A)
A,Other impacts,"{'Equipment Type': 'Single Car', 'Hazmat Cars Damaged': '0'}",0.2296618809451954,0.00149951935,0.2762050624404621,Equipment Type=Single Car(Score:0.0030); Hazmat Cars Damaged=0(N/A)
